task,model,model_slug,feature,rank,importance_method,importance_value
ice,GBR,gbr,carbonization_temperature_C,1,mean_abs_shap,0.3104784613755761
ice,GBR,gbr,ssa_m2_g,2,mean_abs_shap,0.2173486589950601
ice,GBR,gbr,current_density_mA_g,3,mean_abs_shap,0.0718078752833354
ice,GBR,gbr,d002_nm,4,mean_abs_shap,0.0250373669247053
ice,GBR,gbr,id_ig,5,mean_abs_shap,0.0156705481425612
ice,GBR,gbr,electrolyte_type,6,mean_abs_shap,0.0065016565540325
ice,Lasso,lasso,carbonization_temperature_C,1,mean_abs_shap,0.383367419852635
ice,Lasso,lasso,ssa_m2_g,2,mean_abs_shap,0.09790704876710186
ice,Lasso,lasso,current_density_mA_g,3,mean_abs_shap,0.017902442487813454
ice,Lasso,lasso,d002_nm,4,mean_abs_shap,0.0
ice,Lasso,lasso,id_ig,5,mean_abs_shap,0.0
ice,Lasso,lasso,electrolyte_type,6,mean_abs_shap,0.0
ice,Linear,linear,carbonization_temperature_C,1,mean_abs_shap,0.38990697098778443
ice,Linear,linear,ssa_m2_g,2,mean_abs_shap,0.09618335114783515
ice,Linear,linear,id_ig,3,mean_abs_shap,0.03259362252274954
ice,Linear,linear,current_density_mA_g,4,mean_abs_shap,0.02297261016484295
ice,Linear,linear,d002_nm,5,mean_abs_shap,0.01563062706635895
ice,Linear,linear,electrolyte_type,6,mean_abs_shap,0.010398764029391185
ice,NeuralNetwork,neuralnetwork,ssa_m2_g,1,permutation_importance,0.6903579305318353
ice,NeuralNetwork,neuralnetwork,carbonization_temperature_C,2,permutation_importance,0.4482713547254857
ice,NeuralNetwork,neuralnetwork,current_density_mA_g,3,permutation_importance,0.11431261858700603
ice,NeuralNetwork,neuralnetwork,electrolyte_type,4,permutation_importance,0.035162393508752644
ice,NeuralNetwork,neuralnetwork,id_ig,5,permutation_importance,0.02542378762397128
ice,NeuralNetwork,neuralnetwork,d002_nm,6,permutation_importance,0.020763214823314207
ice,RandomForest,randomforest,carbonization_temperature_C,1,mean_abs_shap,0.3062655062176234
ice,RandomForest,randomforest,ssa_m2_g,2,mean_abs_shap,0.2238893205792843
ice,RandomForest,randomforest,current_density_mA_g,3,mean_abs_shap,0.1150329759174978
ice,RandomForest,randomforest,d002_nm,4,mean_abs_shap,0.0278928095664366
ice,RandomForest,randomforest,id_ig,5,mean_abs_shap,0.0262716039979237
ice,RandomForest,randomforest,electrolyte_type,6,mean_abs_shap,0.0172032871159989
ice,Ridge,ridge,carbonization_temperature_C,1,mean_abs_shap,0.3855586344304191
ice,Ridge,ridge,ssa_m2_g,2,mean_abs_shap,0.0959061673418583
ice,Ridge,ridge,id_ig,3,mean_abs_shap,0.0327878677074636
ice,Ridge,ridge,current_density_mA_g,4,mean_abs_shap,0.0234305579707246
ice,Ridge,ridge,electrolyte_type,5,mean_abs_shap,0.0088866194555267
ice,Ridge,ridge,d002_nm,6,mean_abs_shap,0.0001885457209899
ice,XGB,xgb,carbonization_temperature_C,1,mean_abs_shap,0.3331357836723327
ice,XGB,xgb,ssa_m2_g,2,mean_abs_shap,0.2275659441947937
ice,XGB,xgb,current_density_mA_g,3,mean_abs_shap,0.0794433429837226
